Program,Paragraph,Line,LocationTag,PathCondition,StatementKind,TargetVariable,FormulaOrValue
ESCAL056,0100-INITIAL-ROUTINE,181,ESCAL056:L181,ALWAYS (Unconditional),INITIALIZE,PPS-DATA-ALL,DEFAULT_INITIAL_VALUES
ESCAL056,0100-INITIAL-ROUTINE,182,ESCAL056:L182,ALWAYS (Unconditional),INITIALIZE,BILL-DATA-TEST,DEFAULT_INITIAL_VALUES
ESCAL056,0100-INITIAL-ROUTINE,183,ESCAL056:L183,ALWAYS (Unconditional),INITIALIZE,HOLD-PPS-COMPONENTS,DEFAULT_INITIAL_VALUES
ESCAL056,0100-INITIAL-ROUTINE,184,ESCAL056:L184,ALWAYS (Unconditional),MOVE,PPS-RTC,ZEROS
ESCAL056,0100-INITIAL-ROUTINE,185,ESCAL056:L185,ALWAYS (Unconditional),MOVE,PPS-CALC-VERS-CD,CAL-VERSION
ESCAL056,0100-INITIAL-ROUTINE,188,ESCAL056:L188,IF P-PROV-TYPE = '40',MOVE,PPS-NAT-LABOR-PCT,ZERO
ESCAL056,0100-INITIAL-ROUTINE,188,ESCAL056:L188,IF P-PROV-TYPE = '40',MOVE,PPS-NAT-NONLABOR-PCT,ZERO
ESCAL056,0100-INITIAL-ROUTINE,188,ESCAL056:L188,IF P-PROV-TYPE = '40',MOVE,PPS-WAGE-ADJ-RATE,W-NEW-RATE1-RECORD
ESCAL056,0100-INITIAL-ROUTINE,188,ESCAL056:L188,IF P-PROV-TYPE = '40',MOVE,MSA-WAGE-AMT,W-NEW-RATE1-RECORD
ESCAL056,0100-INITIAL-ROUTINE,188,ESCAL056:L188,IF P-PROV-TYPE = '40' AND IF P-PROV-TYPE = '41',MOVE,PPS-NAT-LABOR-PCT,ZERO
ESCAL056,0100-INITIAL-ROUTINE,188,ESCAL056:L188,IF P-PROV-TYPE = '40' AND IF P-PROV-TYPE = '41',MOVE,PPS-NAT-NONLABOR-PCT,ZERO
ESCAL056,0100-INITIAL-ROUTINE,188,ESCAL056:L188,IF P-PROV-TYPE = '40' AND IF P-PROV-TYPE = '41',MOVE,PPS-WAGE-ADJ-RATE,W-NEW-RATE2-RECORD
ESCAL056,0100-INITIAL-ROUTINE,188,ESCAL056:L188,IF P-PROV-TYPE = '40' AND IF P-PROV-TYPE = '41',MOVE,MSA-WAGE-AMT,W-NEW-RATE2-RECORD
ESCAL056,0100-INITIAL-ROUTINE,188,ESCAL056:L188,IF P-PROV-TYPE = '40' AND IF P-PROV-TYPE = '41',MOVE,PPS-RTC,52
ESCAL056,0100-INITIAL-ROUTINE,188,ESCAL056:L188,IF P-PROV-TYPE = '40' AND IF P-PROV-TYPE = '41',MOVE,PPS-WAGE-ADJ-RATE,ZERO
ESCAL056,0100-INITIAL-ROUTINE,206,ESCAL056:L206,IF P-PROV-TYPE = '40' AND IF P-PROV-TYPE = '41',MOVE,MSA-ADJ-YEAR-AMT,PPS-WAGE-ADJ-RATE
ESCAL056,0100-INITIAL-ROUTINE,212,ESCAL056:L212,IF P-PROV-TYPE = '40' AND IF P-PROV-TYPE = '41',MOVE,PPS-BDGT-NEUT-RATE,CASE-MIX-BDGT-NEUT-FACTOR
