=== SHEET 1: INPUT_PARAMETERS ===
Cell,Variable_Name,Capability,Default_Value,Origin_Copybook,Type
B2,"`W-NEW-RATE1-RECORD","Financial & Loan Calculation Engine",5.5,"Data","Parameter"
B3,"`(B-THRU-CCYY","Financial & Loan Calculation Engine",10,"Data","Parameter"
B4,"`1.112`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B5,"`1.000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B6,"`CASE-MIX-BDGT-NEUT-FACTOR","Financial & Loan Calculation Engine",10,"Data","Parameter"
B7,"`1.620`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B8,"`DRUG-ADDON`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B9,"`H-2006-WAGE-ADJ-PYMT`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B10,"`(B-THRU-CCYY","Financial & Loan Calculation Engine",10,"Data","Parameter"
B11,"`HOSP-BASED-PMT-RATE`","Financial & Loan Calculation Engine",5.5,"Data","Parameter"
B12,"`NAT-LABOR-PCT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B13,"`COM-CBSA-W-INDEX`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B14,"`NAT-NONLABOR-PCT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B15,"`1.112`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B16,"`1.000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B17,"`CASE-MIX-BDGT-NEUT-FACTOR","Financial & Loan Calculation Engine",10,"Data","Parameter"
B18,"`1.620`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B19,"`DRUG-ADDON`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B20,"`H-2006-WAGE-ADJ-PYMT`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B21,"`(B-THRU-CCYY","Financial & Loan Calculation Engine",10,"Data","Parameter"
B22,"`HOSP-BASED-PMT-RATE`","Financial & Loan Calculation Engine",5.5,"Data","Parameter"
B23,"`NAT-LABOR-PCT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B24,"`COM-CBSA-W-INDEX`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B25,"`NAT-NONLABOR-PCT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B26,"`1.112`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B27,"`1.000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B28,"`CASE-MIX-BDGT-NEUT-FACTOR","Financial & Loan Calculation Engine",10,"Data","Parameter"
B29,"`1.620`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B30,"`DRUG-ADDON`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B31,"`H-2007-WAGE-ADJ-PYMT`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B32,"`(B-THRU-CCYY","Financial & Loan Calculation Engine",10,"Data","Parameter"
B33,"`HOSP-BASED-PMT-RATE`","Financial & Loan Calculation Engine",5.5,"Data","Parameter"
B34,"`NAT-LABOR-PCT","Financial & Loan Calculation Engine",10,"Data","Parameter"
